gene_id	gene_short_name	YPGR_Day1_Rep1	YPGR_Day2_Rep1	YPGR_Day3_Rep1	YPGR_Day4_Rep1	YPGR_Day5_Rep1	YPD_Day1_Rep1	YPD_Day2_Rep1	YPD_Day3_Rep1	YPD_Day4_Rep1	YPD_Day5_Rep1	YPGR_Day1_Rep2	YPGR_Day2_Rep2	YPGR_Day3_Rep2	YPGR_Day4_Rep2	YPGR_Day5_Rep2	YPD_Day1_Rep2	YPD_Day2_Rep2	YPD_Day3_Rep2	YPD_Day4_Rep2	YPD_Day5_Rep2	YPGR_Day1_Rep3	YPGR_Day2_Rep3	YPGR_Day3_Rep3	YPGR_Day4_Rep3	YPGR_Day5_Rep3	YPD_Day1_Rep3	YPD_Day2_Rep3	YPD_Day3_Rep3	YPD_Day4_Rep3	YPD_Day5_Rep3
YCR045W-A	YCR045W-A	4050.180664	3641.518799	4259.125488	4333.141113	4392.616211	3144.56958	4546.612793	4634.273926	4502.590332	4123.060547	4446.82666	5394.688965	5066.736328	4874.490234	4871.519043	4843.358398	2964.523438	4645.44873	4783.46582	4640.785156	5201.556152	5531.208496	5324.867188	4758.067383	4672.598145	4617.281738	4726.644043	4693.288574	4767.567871	5018.400879
YLR162W-A	YLR162W-A	2948.678223	3034.965576	3683.85498	3384.142822	3454.049805	2830.500732	3858.175537	3065.448486	3225.70752	2968.792236	3027.515869	4215.422363	4087.946533	3825.285645	3782.497803	3056.570068	3297.846924	3418.021484	3622.641602	3677.761963	3907.193848	4362.348633	3917.763428	3857.947021	3982.895508	3411.374512	3570.407715	3750.81958	3524.70166	3856.533691
YFR032C	YFR032C	41163.83984	35497.58203	37624.28125	36113.83203	35657.99219	41646.45703	51675.11328	44195.00781	46172.32031	45798.48438	40824.89063	41394.16406	39869.53516	37789.41797	37150.78906	45098.21094	45656.80469	45427.14453	46795.96094	46723.98828	44761.23438	43396.27734	38779.01172	38965.375	38175.00391	40184.78906	47189.95313	48049.32422	44880.96484	47845.41797
YCR045C	YCR045C	9177.045898	8536.620117	9281.669922	9448.15918	9720.629883	9037.296875	9901.454102	10122.90527	10023.39258	9774.233398	9728.382812	11400.25098	10981.91895	10166.68945	10090.34473	10214.31445	9783.160156	9628.046875	9840.745117	9824.631836	10692.73047	11223.39063	10383.58789	10055.90918	9989.959961	9766.614258	10156.68457	10651.66699	10366.42578	10604.75293
YKL096W	CWP1	24246.47852	25615.08203	27683.94336	27242.26172	28506.13477	21956.53906	25948.10938	23129.91797	23807.74805	24624.93555	23848.35156	27099.23828	24813.16602	26067.07227	26863.29102	22700.18164	22093.54102	21770.08984	21954.26563	21460.41406	25668.12695	27628.7832	25454.91211	28268.67773	28795.33789	20169.03906	23879.2793	23549.65625	21715.7793	22674.96094
YDR133C	YDR133C	30992.3125	34220.85938	35412.57813	34332.39063	36394.22266	28181.1875	13193.11231	28854.86719	29640.99609	29786.37109	30340.51563	35502.28125	32113.10742	35564.95313	35433.80859	29135.19922	28818.27344	26975.44922	29825.31641	28110.46875	29743.70703	31405.54883	35496.26953	35360.01563	35624.75391	26186.98633	25485.95117	25639.33789	26219.22656	26996.83984
YOR313C	SPS4	26215.95898	26166.72266	24780.92969	24857.22852	24650.49805	22395.21289	21540.37891	23276.79883	23572.3418	23777.19531	25353.47656	26083.42969	26061.92969	24523.40234	23470.0332	22779.66016	22228.51172	21809.90234	22037.38672	21105.22852	25904.81445	24746.61133	25675.32422	24550.95117	23937.79688	21729.50781	22760.21484	24634.63086	21675.20703	22887.36719
YOR214C	YOR214C	17207.23242	17948.48438	18295.29297	17486.57031	17960.70508	15105.25098	17700.11719	14970.20801	15912.53516	16458.89648	16298.69238	17772.29688	16862.85352	16487.79688	17240.0918	14828.01172	14561.12695	14421.94434	14619.01563	13797.36133	17024.94336	15791.18164	16637.09375	17217.41016	17017.7793	13855.85938	15438.17871	15753.31055	14431.19922	15385.90527
YDR371C-A	YDR371C-A	0.674285	0.189213	0.400694	0.208729	0.457145	0.531624	0.014655	0.770932	0.58332	0.156026	0.316641	0.018446	0.003105	0.032226	0.027519	0.876192	3.275735	1.359093	0.715299	0.364483	1.170085	0.009196	0.18257	0.524959	0.094396	1.50124	0.698621	0.15715	0.412035	0.23335
YLR307W	CDA1	12947.42871	12006.12793	11298.36328	10841.91211	11172.45801	11439.01074	14360.56641	12034.95703	12456.50879	12539.13086	12464.49023	12204.02832	12422.0459	11488.32813	11632.77051	11856.94922	11937.56348	11732.55566	11835.96582	11174.72754	13002.97461	10860.87793	10780.43555	10986.5625	10792.5166	10416.49512	11795.81738	12354.79785	10989.04688	11605.57129
YPL135C-A	YPL135C-A	8.439177	5.319102	6.662085	8.79125	5.949993	6.374835	6.299142	9.044447	7.186896	5.728162	8.102246	9.034509	17.95476	5.295548	7.996799	7.623588	3.748148	4.495388	5.226769	12.493624	6.77863	0	6.494047	5.72861	5.610738	10.776333	6.589017	10.473409	7.758117	7.449358
YLR314C	CDC3	5410.96582	5861.356934	5499.719727	5761.294922	6043.103516	4834.759277	4168.173828	5381.573242	5332.005859	5693.682617	5165.213867	5910.495117	5630.149902	6049.0625	5764.894043	5056.296387	4951.507324	5257.745117	5099.450684	5123.40332	5301.697266	4121.937012	5808.61377	5460.302734	5543.686523	5354.439453	4828.039062	5326.724609	5198.293457	5448.494629
YFR012W-A	YFR012W-A	9.493777	0.115025	2.427349	2.548867	0.915282	7.915964	3.413825	31.240637	42.716045	94.619469	6.369999	13.237374	11.298553	28.102045	14.612737	3.430874	6.808528	5.538699	4.315279	3.086521	7.035329	4.562075	4.632047	2.99179	1.089957	23.834782	4.990662	18.097834	17.717445	17.069376
YER115C	SPR6	7413.071777	7091.913086	6575.378906	6296.97998	5981.141113	6440.89502	7265.743652	6225.722656	6330.017578	5916.626465	7487.703125	7720.324219	7592.844727	5963.961426	6309.533203	6561.011719	6554.554199	6513.90625	6391.630859	6337.47168	8114.361328	6362.126465	7134.694824	6348.845703	6064.367676	5969.937988	6371.074219	6244.76416	5714.566895	5779.291016
YDR524W-C	YDR524W-C	2901.879639	3685.262939	3780.042236	3373.5354	3746.687744	1845.883789	1915.512451	2118.781738	2372.079102	2500.588623	3006.439941	3141.968262	2920.998291	2969.896973	2625.877686	2007.838623	1951.713867	1875.088257	1980.665039	1743.626343	2536.166748	370.894623	3015.057129	3264.293457	2858.707275	1874.234009	1780.129883	1574.215332	1439.274902	1089.906616
YLR327C	TMA10	2287.338379	2622.14624	2424.540527	2588.675293	2582.227539	1753.969849	2452.348633	2000.487061	2166.439697	2098.220947	2313.298828	2574.257568	2508.108643	2346.373535	2140.650879	2155.853271	1877.665771	1860.736816	1778.70105	1555.259155	2651.865967	2181.544922	2095.196045	2439.481445	2575.631592	1970.012817	2214.423828	2576.565918	2115.592529	2132.666748
YKL100W-A	YKL100W-A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001482	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00209	0
YLR299C-A	YLR299C-A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00004	0.000101	0	0.000048	0	0	0	0.000087	0.00014	0.000252	0	0	0	0	0
YLR213C	CRR1	3237.937744	3126.743652	3527.416504	3624.799316	3868.153076	2918.415039	3213.507568	2952.675537	3020.793213	3013.239014	3245.514893	3823.827148	3608.066406	3672.139893	3707.06543	3279.768799	3371.245117	3329.251709	3343.610352	3212.875488	3507.115967	3776.842285	3403.739014	3632.455811	3673.814941	2671.327637	3188.864746	3325.731445	3056.937744	3203.902588
