gene_id	gene_short_name	YPGR_Day1_Rep1	YPGR_Day2_Rep1	YPGR_Day3_Rep1	YPGR_Day4_Rep1	YPGR_Day5_Rep1	YPD_Day1_Rep1	YPD_Day2_Rep1	YPD_Day3_Rep1	YPD_Day4_Rep1	YPD_Day5_Rep1	YPGR_Day1_Rep2	YPGR_Day2_Rep2	YPGR_Day3_Rep2	YPGR_Day4_Rep2	YPGR_Day5_Rep2	YPD_Day1_Rep2	YPD_Day2_Rep2	YPD_Day3_Rep2	YPD_Day4_Rep2	YPD_Day5_Rep2	YPGR_Day1_Rep3	YPGR_Day2_Rep3	YPGR_Day3_Rep3	YPGR_Day4_Rep3	YPGR_Day5_Rep3	YPD_Day1_Rep3	YPD_Day2_Rep3	YPD_Day3_Rep3	YPD_Day4_Rep3	YPD_Day5_Rep3
YCR045W-A	YCR045W-A	6809.408691	31106.47656	11241.40918	27609.28125	10913.71973	20755.81836	12495.99805	20832.76758	4080.109131	23253.35547	32385.76172	19708.69336	16451.98828	25134.73633	28128.31445	11642.86231	14704.5332	31253.77734	3489.82373	16716.54883	26988.48438	29997.57617	12203.90332	19647.12305	19466.10742	26129.35938	29689.39453	16361.67578	31836.8418	11160.84668
YLR162W-A	YLR162W-A	8534.374023	9607.317383	9074.556641	9111.600586	9617.420898	8133.094727	8797.482422	9199.012695	8685.248047	9281.575195	9602.630859	9717.777344	10152.66699	10092.94824	10027.47266	8553.104492	8882.338867	9246.958984	9151.59082	9444.104492	9237.008789	9677.243164	9988.095703	10258.81836	9862.655273	8236.339844	8271.576172	9316.62793	9424.628906	10147.06836
YFR032C	YFR032C	49099.56641	50419.46484	48544.23828	46353.31641	45320.01172	54055.59375	56211.48047	56063.34375	55540.70313	55082.74219	53030.36719	50514.01172	50146.70313	45030.21484	45048.09375	55889.54688	57216.21484	57023.26563	58154.62891	56897.40625	53229.77734	51267.23047	54243.22656	50653.86328	47158.73828	54245.44141	55874.22266	57507.54688	55779.05469	57295.18359
YCR045C	YCR045C	57821.59375	56518.52734	57909.23828	54929.04297	54199.91797	52344.06641	58155.33203	57612.41406	59240.00391	58830.13281	61594.34766	59561.80859	59827.75781	54980.33203	55289.23047	58722.27344	59896.34375	60259.83984	62106.10156	61938.87109	60072.44531	58692.66797	61121.15625	57237.86328	53739.67188	56835.39453	57545.75781	58663.35547	59680.42188	61971.70313
YKL096W	CWP1	31135.375	34804.80078	35861.44922	36378.16797	38807.89844	32881.60938	33567.45703	32644.9707	31454.97461	31150.54883	34242.78906	36162.44922	37028.70313	38479.33984	38359.73828	32504.05859	33060.28906	32100.98047	32783.55469	31450.33984	33401.82813	33245.38672	37119.63672	36705.90234	37038.80469	31697.45703	30834.58594	31176.23242	29956.8418	30854.81641
YDR133C	YDR133C	22208.47852	23538.41016	24743.79297	27572.53516	26569.35547	21879.81641	21634.49414	20796.79883	21779.19141	21841.85938	22951.86523	23661.0293	25407.43164	27952.7793	26725.33398	21725.88672	21491.68945	21286.04688	22110.03711	25683.20313	22341.60742	22725.82813	25361.95313	26240.90234	26023.8457	21238.74219	21474.13867	21596.43359	21200.82617	21400.51758
YOR313C	SPS4	30321.03711	29655.68164	28495.02539	28867.0293	27115.32617	26310.08008	26283.35547	26320.59375	26696.10742	26024.28906	30167.86523	29860.44727	28929.40234	29292.85742	27356.00781	27358.7207	27012.91992	26916.02148	27060.38281	26221.08008	29012.27344	28320.47266	29068.75781	27461.26953	26479.41797	27020.48438	25815.31836	26135.19727	25193.92969	25398.3418
YOR214C	YOR214C	24565.89648	25649.4375	26900.38477	25592.01758	26433.14648	24475.17188	24807.24805	24001.54297	24081.72461	23429.35352	27216.02539	24961.94727	24391.23828	25416.66602	23554.94727	24380.24414	24684.70898	24045.05469	24683.45898	23498.94141	24860.39844	24112.32813	24642.36914	25710.0625	25317.08008	25185.79883	25098.60547	25944.41016	24732.21094	25349.35742
YDR371C-A	YDR371C-A	0	0.000754	0	0.000026	0	0	0	0	0.026078	0.000564	0	0	0	0	0	0	0	0.000013	0	0	0	0.000024	0	0	0	0	0.001117	0	0.000495	0
YLR307W	CDA1	21400.67383	22208.59375	20556.07617	20655.92773	22327.05664	19972.99609	21582.9043	20511.96094	19980.17383	19444.09961	21966.01367	21060.08789	21060.93555	21031.65234	20632.59375	19878.95703	20470.86328	20133.10156	18792.65039	17825.62109	22174.63281	21499.5625	23016.52539	20825.2207	21360.03125	20988.63281	20696.4707	20336.69727	19242.58984	19120.88477
YPL135C-A	YPL135C-A	3.238769	0.662062	1.183792	0.876684	0.510622	5.072234	5.857783	6.938848	1.208814	8.04444	7.570644	4.582586	1.259981	1.228492	1.583712	15.059685	11.039454	23.326628	14.665244	18.523993	1.00631	0.528793	0.891915	0.592144	0.286183	12.820712	7.066032	9.946635	1.13819	3.758689
YLR314C	CDC3	20091.38086	18641.07227	18675.82031	20094.01367	18926.51172	15704.87793	15165.67773	16458.81836	17103.57227	16692.96484	18155.16992	18216.67383	19189.98633	19729.47461	19002.01953	17546.42383	16366.50488	17392.59766	17186.23828	17730.75	17227.27344	17114.88281	17330.05078	18374.48828	17816.92969	17746.57227	15341.05762	16959.54297	16750.63867	16835.71875
YFR012W-A	YFR012W-A	125.527977	104.210281	102.706024	99.639122	91.018433	203.900497	186.544205	190.941742	201.670639	199.088623	105.12545	82.886513	90.122414	67.757477	83.444389	193.697464	178.273209	228.116959	254.775787	318.525055	122.063362	82.94413	103.321793	95.395561	137.979156	186.812027	215.403915	184.52861	224.416	223.102432
