gene_id	gene_short_name	YPGR_Day1_Rep1	YPGR_Day2_Rep1	YPGR_Day3_Rep1	YPGR_Day4_Rep1	YPGR_Day5_Rep1	YPD_Day1_Rep1	YPD_Day2_Rep1	YPD_Day3_Rep1	YPD_Day4_Rep1	YPD_Day5_Rep1	YPGR_Day1_Rep2	YPGR_Day2_Rep2	YPGR_Day3_Rep2	YPGR_Day4_Rep2	YPGR_Day5_Rep2	YPD_Day1_Rep2	YPD_Day2_Rep2	YPD_Day3_Rep2	YPD_Day4_Rep2	YPD_Day5_Rep2	YPGR_Day1_Rep3	YPGR_Day2_Rep3	YPGR_Day3_Rep3	YPGR_Day4_Rep3	YPGR_Day5_Rep3	YPD_Day1_Rep3	YPD_Day2_Rep3	YPD_Day3_Rep3	YPD_Day4_Rep3	YPD_Day5_Rep3
YCR045W-A	YCR045W-A	14511.52148	5166.195801	6556.508301	14590.53125	13086.96777	14178.72559	13135.45703	14880.33106	14374.58203	11021.40918	7297.952637	17084.25586	15722.47168	16097.22266	16092.7207	9154.737305	5586.431641	16984.99805	17211.16992	4122.272949	14183.00195	14518.06641	9374.992188	13821.80176	14135.9834	14419.38965	6500.882324	8516.582031	8980.948242	7867.902832
YLR162W-A	YLR162W-A	4109.707031	4617.51709	4858.544434	4884.958496	4200.846191	4065.027344	4204.729004	4415.00293	4346.534668	4899.763184	4081.259033	5058.391113	5119.90625	5410.349609	5266.605957	4028.397705	4013.168213	4561.473145	4532.984863	5100.310059	4452.744629	4848.515625	5051.476562	4760.35498	4884.907227	4179.855469	4325.510254	4368.217285	4757.787598	5221.242676
YFR032C	YFR032C	24261.89453	23183.14258	23972.23633	22676.5	22379.86914	24350.0625	24482.43359	24870.27539	25601.69727	26159.40039	24617.98828	25524.49805	24492.72266	25746.35938	25356.5957	25045.45508	27957.29102	28602.3125	28071.02344	27628.64453	23958.85547	22405.53516	23732.0625	22188.10742	22116.90039	24897.11719	24774.31445	24089.78711	25651.47266	27244.28516
YCR045C	YCR045C	29250.09375	30179.85547	30873.47461	29804.63867	27451.78711	28316.53516	29296.89258	29181.26563	29206.48828	30534.72461	30894.35938	33439.66797	31185.03516	32090.32227	31405.14258	29930.33008	30971.96875	32073.35742	32319.41797	31609.3125	28688.11328	30004.88086	30683.9707	28919.75195	28867.19531	28366.05664	27977.3457	27156.99414	29601.72461	30063.45117
YKL096W	CWP1	25555.64258	28575.38672	30245.00391	29611.13477	30716.26172	24923.79883	26344.7168	23966.13281	25148.60742	24767.32813	27381.69727	30106.17188	30003.25781	32937.69141	33361.28906	26733.03711	26622.28711	25931.5957	25886.75195	25373.6582	25733.54102	28702.27539	30733.40039	31140.86133	31647.64648	24521.35352	23120.56055	22898.20703	24186.47461	25590.05078
YDR133C	YDR133C	31651.84766	33069.55859	36532.50391	35559.22266	39525.27344	30415.56055	30823.15234	29655.16211	30886.16211	30848.80664	30975.17383	33913.65234	34894.47656	37689.27344	37994.13672	29233.72461	29640.68359	30225.61133	28633.38477	30241.06641	30658.05469	34272.00391	38471.0625	39442.51953	39462.91406	30229.1875	30148.31836	29151.33594	28648.10547	31132.8457
YOR313C	SPS4	32581.92383	33771.73438	34716.62891	34122.16797	34909.49609	29029.3457	30103.05664	28816.08789	30977.40625	29132.83398	31058.20313	32862.58594	32510.98242	32526.76953	32146.8125	28388.24609	27982.66406	28109.3125	26710.66016	28838.71484	31121.04688	34184.82813	36525.49219	36493.96875	35691.87109	28836.73438	29739.17578	28408.20117	26599.26172	29232.25391
YOR214C	YOR214C	8482.736328	9019.554688	9252.40918	9265.411133	9791.920898	8069.09375	8285.24707	8163.549316	8799.300781	8671.21875	7816.701172	8489.954102	8617.881836	8971.460938	8573.541992	7641.675293	7400.102051	7146.671387	6948.117188	7560.492676	7600.135254	8652.759766	9157.441406	8560.776367	8926.350586	8094.459473	8490.802734	8400.570312	7567.26709	8614.772461
YDR371C-A	YDR371C-A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YLR307W	CDA1	4078.206299	3973.653076	3959.624512	3857.192139	4007.090576	3861.342773	3977.302246	3779.319092	3911.458984	3813.758301	4236.468262	4162.849609	3663.595459	3535.157471	3155.919922	4006.673096	3986.449463	3946.965088	3752.226318	3883.487793	3972.226562	3838.229248	3654.073975	3673.401611	3504.604248	3832.206543	3797.740723	3531.567627	3530.868408	3562.67627
YPL135C-A	YPL135C-A	5.25673	0.30447	0.14834	0.060036	1.554061	10.853413	0.772659	7.52684	2.366038	10.336442	3.80837	0.104189	0.100231	0.197686	0.048912	6.456493	13.632262	22.802292	17.84869	22.489462	0.301139	0.198961	0.171482	0.315192	0.205465	5.910065	0.215309	0.303346	0.266085	0.126698
YLR314C	CDC3	7660.481445	8031.810547	8440.5625	8393.783203	8910.771484	7039.120117	7138.288574	6571.694336	7274.254883	6586.341309	7670.146973	7936.54834	7947.026367	8236.620117	8350.813477	7122.608887	7502.450684	7093.594238	6577.873047	7110.118164	7075.270508	7842.881836	8511.254883	8651.702148	8226.055664	6756.229004	6605.80957	6531.616699	6012.585449	6429.829102
YFR012W-A	YFR012W-A	71.236053	50.804722	75.456062	93.437828	118.331413	51.778645	68.066582	73.150398	70.852814	67.438072	57.19672	84.622307	56.954865	54.728855	71.945328	49.109093	63.49815	50.529842	34.182194	58.721916	77.465401	57.218025	98.535439	76.524803	104.783112	70.284393	112.628593	79.188774	110.578026	118.870102
YER115C	SPR6	20408.29492	21221.3418	21202.98242	20438.51953	19209.88477	17786.7832	17196.24414	18108.4707	18601.24805	19337.45117	21420.15039	21636.93945	19707.67578	19570.66992	19616.30078	17731.58398	17530.55859	18385.66211	17827.38281	18776.49609	20010.27734	20741.41016	21850.53516	20902.77148	20703.50391	17877.90234	17886.0957	17546.36328	17892.79102	18514.96484
YDR524W-C	YDR524W-C	174.964417	131.806152	236.019699	225.172119	189.453369	124.463379	101.571045	115.419029	103.526909	137.971878	143.057602	175.258698	223.509521	125.229912	120.788322	98.067375	108.144569	84.234741	98.307259	122.848381	153.653137	252.191101	192.472488	176.687439	136.519547	115.023209	110.444893	129.31012	114.282234	162.500107
YLR327C	TMA10	2086.026367	2030.880737	2237.518799	2046.43689	2137.70874	1846.091309	1788.199829	1809.782227	1860.116333	1729.603516	1806.253296	1882.557007	1810.634766	1918.324219	1943.316284	1723.967163	1808.151489	1795.8396	1802.415894	2006.193848	1863.974609	2058.571777	2199.976318	2227.599121	2281.93335	1684.896973	1801.081909	1695.949219	1869.806885	2001.549316
YKL100W-A	YKL100W-A	0	0	0	0	0	0	0	0.007813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YLR299C-A	YLR299C-A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005806	0	0	0	0	0	0
YLR213C	CRR1	3081.152832	3210.378662	3498.56665	3552.384766	3608.736816	2736.80542	2804.230713	2949.632568	3057.575928	3212.940186	3245.628418	3476.54126	3298.508301	3610.703613	3514.617188	3012.527832	3166.65332	3152.398926	3360.875977	3317.209717	2834.38501	2938.514648	3168.312744	3086.910889	3098.70874	2760.416748	2563.151367	2521.663574	2579.878662	2769.071533
YDR042C	YDR042C	1511.799438	1635.923462	1686.059448	1623.285278	1802.287598	1482.679932	1395.045288	1360.583862	1446.611816	1447.992798	1600.88269	1672.299316	1614.313965	1617.2854	1502.151855	1477.048218	1431.32019	1378.616577	1252.328247	1346.915649	1529.768188	1412.979614	1477.881226	1511.88269	1565.004272	1485.530518	1452.056396	1331.883179	1312.177124	1380.167603
YOR161W-A	YOR161W-A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YFL031C-A	YFL031C-A	2200.963867	1745.564941	1973.022339	1794.787598	2152.503174	2329.705566	2125.279297	2340.519043	2451.437012	2189.450928	1272.155273	1345.751953	1490.830566	841.217896	1139.910278	624.080566	682.502747	1920.085693	1327.946045	1934.484985	2143.860596	1952.819092	2285.657227	2286.644531	2279.082031	2349.729492	2495.381836	2559.885498	2523.639404	2783.470459
YER085C	YER085C	684.766052	623.901306	699.383606	681.926331	689.271545	1220.675049	1288.457275	1212.977051	1247.727783	1331.963257	823.781067	737.404724	639.311035	553.365295	575.670837	1356.0802	1009.551453	1180.264038	1174.652588	878.922607	986.721252	591.297302	653.341614	621.012512	816.602356	890.94989	1076.22876	1069.980469	1077.719849	903.950928
YDR273W	DON1	2265.031494	2533.7771	2648.622559	2846.142822	2900.025879	2236.908447	2267.89502	2149.367188	2300.797119	2000.529175	2505.536865	2687.160156	2689.833252	3083.876221	2954.266602	2194.658447	2329.927734	2116.383545	2032.036377	2221.749268	2147.283936	2384.399902	2723.937256	2772.650635	2786.625	2180.953857	2259.698486	2085.779785	2172.80127	2212.796143
YNL019C	YNL019C	3260.069336	3204.994629	3117.794922	2946.187988	2731.320557	3173.900635	3120.616699	2988.308105	2951.962402	3076.51123	3557.497314	3587.176514	3293.511719	3202.343262	2995.107422	3293.48999	3358.286377	3382.768799	3426.745605	3372.038086	3116.208984	3129.345459	3227.656738	3032.083008	2923.210449	3152.446045	3216.40918	3082.297852	3331.260498	3179.6604
YJL043W	YJL043W	4061.551758	4425.691895	4740.894043	4616.08252	5586.168945	4068.601807	4901.27832	5238.598633	5614.437988	6533.702148	4551.930664	6198.967285	6051.503906	6551.943848	5561.790527	4464.416992	5154.671387	5695.080566	7812.505371	8211.039062	5025.587402	5128.858398	5599.819336	5472.228516	4550.598145	4014.515137	4142.272461	4509.76416	5556.92627	6476.756836
YCR010C	ADY2	3974.501709	3934.630859	4123.831543	3929.177734	3863.961182	3630.915283	3605.516602	3484.738037	3515.421387	3446.935791	4017.200928	4234.615723	4135.811523	4386.469727	4115.64209	4153.538086	4319.76709	3975.048096	4077.74707	4317.530273	3950.50415	4061.407227	4354.413086	4302.32666	4177.346191	3719.118408	3717.896973	3524.553467	3529.81958	3758.261719
YNR003W-A	YNR003W-A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YIL099W	SGA1	29337.59961	23843.61133	24089.68945	22848.94336	22128.25977	30825.97852	29667.92188	28565.07227	27187.37305	25535.94336	28649.23633	25120.0918	21943.49609	21455.77344	23212.44531	26640.43164	26279.375	27879.71094	25574.02344	24318.68164	29671.59961	23542.01367	23428.86719	23339.72266	24284.98438	31656.90234	30319.89063	28155.58203	27162.16602	26622.50781
YDR260C	SWM1	893.227295	881.399963	774.252258	777.811768	829.455627	858.028625	741.412903	603.537781	654.375366	576.219116	938.83374	1042.638916	1006.940735	858.918823	1019.289673	723.457764	643.41803	526.183777	510.830231	457.666656	842.359985	817.63031	814.686584	822.932373	919.102295	757.912659	793.311096	652.628296	569.937073	567.175171
YPR077C	YPR077C	4343.003906	3860.886963	3943.835938	3924.709473	4013.150879	5085.76416	4606.702637	4910.22168	5372.387207	5166.845215	4249.401367	3988.07666	3588.560547	3809.000488	3955.306885	5245.937012	5080.45752	5149.160645	5167.742188	5080.807129	4343.312988	4394.101562	4479.421387	4438.169922	4417.651367	5219.773438	5027.444336	4934.321289	5092.775391	5145.870605
YIL065C	FIS1	1874.049927	821.441223	509.021454	459.752014	530.632568	2055.328613	2345.473389	2670.334717	2935.066895	3244.967041	2003.013184	959.105042	690.400635	606.407776	633.259338	2393.121826	2192.470459	2370.185303	2419.783447	2393.651611	1780.685669	922.999634	645.607178	647.110962	626.454895	2313.404297	2215.477783	1989.725098	2249.888916	2352.955566
YGR226C	YGR226C	124.890228	138.070953	147.508179	145.676102	158.481644	132.246597	127.820206	122.262283	130.573715	137.060837	121.508705	138.307617	156.971741	176.481491	178.656143	113.382164	115.983017	132.263504	121.901184	142.070908	120.939301	135.92923	160.795944	175.008362	163.569489	130.151352	137.170944	135.098465	131.364853	142.249451
YBR018C	GAL7	1841.66626	1600.91272	1632.801147	1488.366089	1705.451294	1532.484009	1680.947998	1657.315552	1715.240112	1697.091064	1483.655518	1406.983521	1160.152466	978.277893	998.490356	1292.687744	1282.293213	1395.030396	1189.198486	1417.230591	1590.84668	1600.922852	1752.404419	1740.165649	1628.130859	1596.777588	1854.538574	1920.987915	1660.549438	1753.077637
YPR078C	YPR078C	3675.276367	3096.121094	3220.47998	3202.178467	3306.943359	4565.91748	4034.344727	4203.525391	4669.287598	4320.553711	3545.563721	3041.885498	2772.062256	2889.286133	2909.417725	4650.169922	4351.010742	4340.569824	3952.549316	4391.272461	3711.383057	3524.810303	3509.356934	3528.262939	3463.69043	4562.981445	4422.430664	4277.174316	4243.434082	4363.132812
YMR303C	ADH2	10636.02148	10485.69141	9466.367188	9952.570312	9205.857422	10669.67773	10868.48242	10927.52344	10767.71582	10905.3418	11386.6377	11526.90332	10830.51367	10923.86035	10490.49316	11695.13867	11830.74902	11262.23047	10984.59082	11196.82227	10736.62402	10462.45606	10299.87207	9559.47168	9172.53125	10272.69727	10336.67383	9680.044922	10663.6377	10321.10059
YOR242C	SSP2	1987.470459	2138.61792	2335.547363	2145.238281	2499.285156	1733.24231	1580.094727	1593.886719	1718.513794	1564.878174	1881.387207	2045.434937	2175.974121	2233.696045	2248.543945	1640.697998	1613.09668	1466.72644	1512.572266	1555.810669	1781.202881	2103.979004	2383.397217	2536.184326	2388.61792	1709.835327	1716.39209	1777.17627	1554.453369	1759.016235
YPR035W	GLN1	12630.8125	10375.45898	10016.59863	9983.708008	10084.56738	13568.11719	13811.60547	13104.7666	12965.95117	12678.74805	11691.63477	9937.641602	8749.128906	8760.854492	9041.976562	13182.71777	12753.99609	12877.97168	11824.6416	12078.83789	12261.96484	10821.84766	10207.23633	10066.98242	10534.41309	14130.18652	14334.03418	13641.45215	13130.03418	13417.49121
YIL154C	IMP2'	1828.634644	1403.463745	1208.807739	973.778992	803.535156	2288.125488	2447.880615	2363.459717	2287.754883	2368.105469	1893.282227	1632.824341	1268.703491	1147.626953	936.679871	2296.683838	2465.480225	2706.887207	2743.26416	2667.417236	1787.480835	1484.201294	1402.570801	1073.708984	990.503845	2050.736084	2099.169922	1988.957153	2251.070312	2305.954346
YDR522C	SPS2	1652.353027	1749.366943	1846.625488	1807.040283	1827.331787	1540.273071	1531.217773	1450.256714	1568.766968	1441.719727	1789.602661	1776.266235	1834.203735	1935.776245	1794.822876	1541.573608	1620.031128	1376.444458	1307.737305	1451.75293	1599.849976	1579.777222	1666.765137	1729.453979	1645.156128	1418.985596	1474.669312	1339.284668	1277.328735	1414.149414
YOR190W	SPR1	4369.959473	4822.168457	5057.847168	4905.616699	5501.630371	3929.659912	3862.939697	3698.136719	3918.108154	3658.339355	4412.57666	4672.109375	4620.11084	4759.445312	4680.986328	3957.901123	4032.2229	3852.146973	3629.438721	3719.757568	4215.246094	4179.535156	4404.938477	4471.999512	4241.78125	3776.530273	3585.675293	3665.161621	3606.548584	3743.321289
YNR007C	ATG3	1284.391724	1525.860596	1474.570923	1393.612183	1405.483032	1202.876709	1227.808594	1197.964233	1316.192627	1265.683472	1431.53833	1539.853882	1604.530396	1514.713989	1491.344482	1293.442505	1290.807495	1230.808594	1212.985596	1348.535034	1222.797485	1294.144287	1554.643677	1482.033203	1488.152832	1130.111084	1176.122437	1113.007568	1164.533081	1224.087158
YNL033W	YNL033W	2225.065186	2166.013916	2113.889404	1997.034302	1889.848999	2148.407227	2088.825684	2049.273682	2049.975586	2099.904297	2353.456543	2299.583008	2185.468994	2105.873047	1952.629028	2247.882324	2263.574219	2232.78125	2298.974121	2339.750244	2159.406982	2146.504639	2188.199219	2025.627563	1963.870605	2114.72998	2193.462158	2099.732666	2166.00293	2240.240967
YML009C-A	YML009C-A	1073.887451	1155.596924	1194.88208	1374.070923	1580.664795	1104.713867	1133.805298	1102.441895	1207.164673	1383.689575	1062.636475	1160.007446	1152.245117	1331.12146	1290.690918	1182.51355	1144.788086	1092.834351	899.393555	1054.885864	1141.476685	1159.065918	1230.804688	1249.615967	1321.451172	1044.233887	1041.508057	1022.342529	1023.41748	1055.13269
YJL037W	IRC18	3403.737305	2944.563232	2855.072998	2768.625488	2948.494873	3570.027344	3547.893799	3422.690186	3826.527344	3672.403809	3419.407715	2883.140381	2754.411621	2688.678467	2561.210449	3814.846191	3590.282715	3405.385498	3327.093018	3411.158447	3100.357422	2723.763428	2766.58252	2647.583984	2654.998779	3436.525391	3303.403076	3293.985107	3810.271729	3435.059326
YFL038C	YPT1	11275.20508	7319.058105	5740.949707	5125.362793	5040.442871	12336.17871	12676.38086	11811.91797	12198.68066	12134.88281	12795.03516	8636.106445	5873.968262	5611.131836	5391.67627	14163.29297	13856.09375	13326.10547	13413.92676	13471.80957	10727.32715	6498.018555	5288.224609	4904.962891	4759.625	11986.75	11554.21875	11266.34961	11742.03613	12584.93945
YPL135W	ISU1	8232.629883	9285.362305	10043.8125	10355.64356	10574.52441	7525.672852	7880.542969	7734.73584	7997.847168	8149.673828	7918.665039	9214.529297	9223.993164	9395.988281	9569.474609	7185.962402	7449.765625	7564.172363	7198.01416	6980.785645	7864.861328	8554.477539	9625.47168	9922.713867	10139.58984	7391.806641	7119.400879	6949.262695	6652.891602	7211.938965
YDL155W	CLB3	325.513397	365.62738	355.465454	348.969391	365.160248	1112.220337	975.187317	890.233337	821.263062	766.564697	394.884644	432.898376	431.593597	546.970398	517.790344	1032.580688	1046.664795	955.985474	812.77533	831.31665	379.399567	493.78894	531.093872	596.64801	556.593079	1084.737549	1060.223633	1005.133301	883.063049	893.025208
YJL077W-B	YJL077W-B	199.548416	231.40332	255.607834	208.315842	185.85379	179.467133	158.835907	160.708435	200.247238	143.717438	228.424149	280.532562	292.066681	388.441345	305.248383	170.585571	197.593903	153.760208	185.092361	140.925018	173.941162	135.011658	176.946548	204.738068	227.808533	163.281372	143.913193	124.188309	96.64431	97.52076
YMR017W	SPO20	2344.406982	2539.256592	2534.251221	2431.460205	2492.528076	2158.685791	2188.989502	2115.978516	2241.702148	2204.751221	2444.784912	2623.991211	2337.543945	2481.129395	2212.941406	2173.407471	2273.817139	2156.92334	2051.10083	2107.665771	2337.508057	2506.174561	2616.668213	2518.78125	2512.425781	2107.99585	2000.835205	1953.026245	1946.303223	1993.82373
YBL107W-A	YBL107W-A	3.691363	3.754598	4.508129	3.088678	4.43468	2.628791	4.156469	3.508127	5.959458	9.429443	1.889946	1.763414	3.22042	4.59238	4.651304	3.633204	4.240415	3.854803	4.984128	6.699202	2.94112	2.777507	4.314733	3.740457	3.340143	3.261087	4.093637	3.557595	6.764235	7.346327
YDR405W	MRP20	748.794556	708.347229	671.565918	569.394897	528.089539	826.157471	831.314453	786.30957	769.420776	792.738403	748.998169	723.646851	612.685974	526.913086	473.624298	813.533264	677.710693	783.905029	835.924927	783.640625	783.973572	674.321838	593.225159	512.386414	450.012146	683.677063	761.9505	677.376709	699.970093	710.33728
YJL160C	YJL160C	10116.96875	10878.97559	11561.63965	11719.39356	12203.28223	9042.399414	8701.542969	8939.623047	9303.855469	8934.841797	9933.041992	11361.41895	11260.30176	11942.625	12202.94727	9480.199219	9622.986328	9556.879883	9543.017578	9319.175781	9752.957031	10986.51465	11884.24316	11897.88867	11751.7002	9131.973633	8764.023438	8538.341797	9029.300781	9498.133789
