gene_id	gene_short_name	YPGR_Day1_Rep1	YPGR_Day2_Rep1	YPGR_Day3_Rep1	YPGR_Day4_Rep1	YPGR_Day5_Rep1	YPD_Day1_Rep1	YPD_Day2_Rep1	YPD_Day3_Rep1	YPD_Day4_Rep1	YPD_Day5_Rep1	YPGR_Day1_Rep2	YPGR_Day2_Rep2	YPGR_Day3_Rep2	YPGR_Day4_Rep2	YPGR_Day5_Rep2	YPD_Day1_Rep2	YPD_Day2_Rep2	YPD_Day3_Rep2	YPD_Day4_Rep2	YPD_Day5_Rep2	YPGR_Day1_Rep3	YPGR_Day2_Rep3	YPGR_Day3_Rep3	YPGR_Day4_Rep3	YPGR_Day5_Rep3	YPD_Day1_Rep3	YPD_Day2_Rep3	YPD_Day3_Rep3	YPD_Day4_Rep3	YPD_Day5_Rep3
YNL070W	TOM7	0.867558	0	0.392353	0	1.682999	0	0	0	0	0	1.87894	0	0	0.951845	0	0.605776	3.114174	0.095121	0	0.986296	0	1.044792	2.122129	0	0	0	0	0.713458	0	0
YGR174W-A	YGR174W-A	0	0	0	0	0	1.72868	0	0	0	0	0	0	0	0.473799	1.032027	1.334229	0	0	0	0	0	1.544902	0	0	0	0	0	0	0	0
YNL130C-A	YNL130C-A	1.475673	3.801548	3.563642	3.671379	5.972294	3.536098	3.332004	6.095647	1.213186	0	0.594913	0	1.118081	0	0	0.813981	1.102236	1.25521	0.490384	0	2.189572	0.411238	1.150897	0.254055	0.953241	3.408832	3.785169	5.971806	5.540553	2.872603
YDR461W	MFA1	1.855138	3.956178	1.173359	2.249287	4.37655	2.587942	1.681652	0.072989	1.019274	0	0.841574	2.795542	4.978859	3.449259	1.692152	0	1.313879	0.752742	0	0.357732	1.350886	4.725969	7.193896	0.252337	4.908077	1.294702	2.332419	0	0	0.653594
YBL100W-C	YBL100W-C	0	0	2.365521	0	0	0	1.605305	0	0	0	0	0	0	0	0	0	0.360839	0	0	0	0	0	0	0	0	0	0	4.270195	3.24884	0
YER053C-A	YER053C-A	0	0.656942	0	0	0	0.224986	0	0	0	0	1.638856	1.713132	1.27954	0	0.880626	1.558975	0	0.091617	0	3.008203	0	0	1.146768	0	0	0	0	0	0	0
YMR315W-A	YMR315W-A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.466362	0.969999	0	0	0	0	0.364482	0	0	0	0.658996	0	0	0	0
YDR119W-A	YDR119W-A	206.67276	226.65712	125.623909	120.298813	113.847496	111.151337	141.423477	115.917625	117.021858	139.2314	181.796661	187.363907	273.944275	257.381958	247.486862	195.516159	228.438217	238.874313	204.212646	152.409866	127.753029	109.272102	97.679222	81.11351	55.906139	186.587982	160.638962	154.717651	132.411682	110.271927
YJL077W-A	YJL077W-A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YML081C-A	ATP18	70.140556	89.13031	40.835384	36.423176	16.334351	16.200068	66.230171	55.180847	30.080982	39.953533	49.727879	55.610031	72.037842	47.475422	29.026419	26.326099	53.717678	40.510353	71.520462	24.677282	52.543804	87.087257	67.869446	74.385117	65.487625	60.302155	52.207272	47.383327	46.991867	63.99118
YLR465C	BSC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
