gene_id	gene_short_name	YPGR_Day1_Rep1	YPGR_Day2_Rep1	YPGR_Day3_Rep1	YPGR_Day4_Rep1	YPGR_Day5_Rep1	YPD_Day1_Rep1	YPD_Day2_Rep1	YPD_Day3_Rep1	YPD_Day4_Rep1	YPD_Day5_Rep1	YPGR_Day1_Rep2	YPGR_Day2_Rep2	YPGR_Day3_Rep2	YPGR_Day4_Rep2	YPGR_Day5_Rep2	YPD_Day1_Rep2	YPD_Day2_Rep2	YPD_Day3_Rep2	YPD_Day4_Rep2	YPD_Day5_Rep2	YPGR_Day1_Rep3	YPGR_Day2_Rep3	YPGR_Day3_Rep3	YPGR_Day4_Rep3	YPGR_Day5_Rep3	YPD_Day1_Rep3	YPD_Day2_Rep3	YPD_Day3_Rep3	YPD_Day4_Rep3	YPD_Day5_Rep3
YCR045W-A	YCR045W-A	0.365049	0	0.408267	0.425361	0.231151	0.350752	0	0	0.813222	0.8336	0.369332	0	0.381833	0	0.662182	0.464744	0.574953	2.459051	0.821243	0.768721	0	0	0.322628	2.153818	0	1.051302	0	0.986701	0.609521	0
YLR162W-A	YLR162W-A	2137.977295	2258.815186	2377.411865	2490.986816	2412.420166	1896.653442	1994.991211	1941.39856	2228.236084	2311.245361	2267.847412	2542.23999	2566.724854	2562.276855	2702.09082	1962.435303	2115.675537	2211.452881	2299.495605	2411.781006	1996.466187	3297.357666	2418.460449	2334.865479	2512.996338	1964.871704	1950.59729	2028.4021	2154.086426	2269.881348
YFR032C	YFR032C	2.26321	2.548928	8.48013	2.003488	3.569413	3.844488	1.943469	2.197022	1.676634	3.746943	2.002529	2.819034	2.091814	2.180235	1.574119	3.138608	2.144642	32.379021	1.935713	2.10102	2.843481	1.962692	4.431644	7.533898	1.888605	2.20629	3.109224	4.201621	3.133192	2.463107
YCR045C	YCR045C	3.060076	0.454071	1.938874	0.809224	1.424465	3.459472	0.956457	0.78343	0.681692	0.798825	0.864376	1.011219	1.015002	0.766311	2.759629	1.54726	1.145604	10.936428	0.760879	0.923982	1.015391	0.691362	1.329351	2.990875	0.919889	1.329292	1.007091	3.195162	1.691694	0.76051
YKL096W	CWP1	2275.137939	2454.396729	2398.417725	2587.898438	2703.071289	2258.356934	2430.065918	1857.765869	2322.910889	2163.618896	2279.678467	2375.520752	2288.740234	2496.024902	2427.442383	2235.828613	2294.966064	2313.483154	2380.805664	2522.594727	1875.27417	1811.973511	1986.372559	2205.139648	2312.877197	1650.189331	1627.276245	1754.085693	1768.141968	1680.801514
YDR133C	YDR133C	4889.293457	4835.024414	5266.044922	4976.992676	5845.933594	4642.723633	4514.570801	4000.721436	4575.174316	4295.5625	4647.666504	4852.543945	5660.833496	5646.810547	6355.92627	4378.984375	4572.523926	4633.794434	4419.22998	4796.185547	4024.770996	3800.7854	4313.192383	4872.062012	4870.856934	3429.363525	3654.202881	3358.360596	3281.352295	3400.682373
YOR313C	SPS4	45.538353	28.286369	44.030949	29.656197	32.475357	42.416473	18.222872	18.522326	16.723675	32.355385	24.462223	29.871408	31.634809	21.529472	23.625711	30.625198	21.967035	300.759125	28.73983	18.825237	29.300955	22.652628	103.815903	174.932129	25.168945	36.664528	29.305441	64.955803	53.35849	19.523142
YOR214C	YOR214C	7.576844	7.553634	17.137695	5.688398	9.456641	12.095204	5.455827	5.291019	7.780365	7.59282	5.251421	8.579357	7.116341	5.574776	6.848727	11.035399	6.345494	131.841965	7.263504	8.617544	10.242849	6.115498	20.360025	32.285393	6.852748	7.577355	9.157722	24.14629	10.356405	5.764425
YDR371C-A	YDR371C-A	0	0.002868	0	0	0.005062	0	0	1.29835	0	0	0.007731	0	0	0	0	0.046993	0.009477	0.034123	0.011662	0	0	1.244357	1.653726	1.529777	0.238221	1.713972	1.779806	1.688126	1.29196	2.121152
YLR307W	CDA1	2.301257	0.801596	3.42179	1.220441	1.665862	1.471888	0.784538	1.232095	1.112146	0.989637	0.828762	1.623558	1.911357	0.847754	1.115064	1.51349	1.223421	18.939007	0.95449	1.637986	1.168934	0.806874	3.239884	6.366895	1.196197	1.579499	2.17796	3.951333	1.375903	0.628038
YPL135C-A	YPL135C-A	247.495453	226.339554	222.110306	223.203186	255.775909	353.017639	326.225464	252.893921	304.134918	301.414093	290.634094	253.75293	237.832153	250.867737	248.336716	349.423553	351.567108	305.589142	334.75238	315.761993	252.519012	187.52652	216.731491	223.560898	172.194458	298.50119	311.963074	292.181915	330.237274	223.370789
YLR314C	CDC3	21.13443	17.785004	11.693764	13.854553	11.932998	16.344688	12.089443	60.873188	16.408726	15.987057	21.691734	15.395363	14.763868	9.607499	4.846906	21.472704	18.831406	38.631897	23.550695	19.490118	58.089222	53.917679	59.152401	64.872032	38.015503	54.907352	48.548782	50.132294	65.594849	55.589848
YFR012W-A	YFR012W-A	1.184634	0	0	0	0	1.21895	0	0	0	0	0	0	0.579595	0	0	0	0	0.596557	0	0	0	0	0.425287	1.525788	1.055674	0	0	0.157657	0	0
YER115C	SPR6	24.805841	15.727468	16.250025	8.984898	7.192846	37.474243	22.808475	56.312931	36.663757	12.704398	63.552067	35.39473	21.662249	15.736135	16.63612	40.440632	48.323452	87.148224	44.3559	46.266609	110.739815	104.623924	120.270164	123.503868	101.830063	167.848846	147.956665	122.081741	134.622925	130.956589
